Date,County,Count,Deaths
4/27/2020,Plymouth,4675,
4/27/2020,Suffolk,12019,
4/27/2020,Worcester,4815,
4/27/2020,Unknown,805,
4/27/2020,Dukes and Nantucket,,
4/28/2020,Barnstable,843,
4/28/2020,Berkshire,437,
4/28/2020,Bristol,3318,
4/28/2020,Dukes,17,
4/28/2020,Essex,8094,
4/28/2020,Franklin,242,
4/28/2020,Hampden,3586,
4/28/2020,Hampshire,522,
4/28/2020,Middlesex,13603,
4/28/2020,Nantucket,11,
4/28/2020,Norfolk,5703,
4/28/2020,Plymouth,4823,
4/28/2020,Suffolk,12286,
4/28/2020,Worcester,5073,
4/28/2020,Unknown,635,
4/28/2020,Dukes and Nantucket,,
4/29/2020,Barnstable,866,
4/29/2020,Berkshire,447,
4/29/2020,Bristol,3478,
4/29/2020,Dukes,18,
4/29/2020,Essex,8509,
4/29/2020,Franklin,257,
4/29/2020,Hampden,3738,
4/29/2020,Hampshire,544,
4/29/2020,Middlesex,13996,
4/29/2020,Nantucket,11,
4/29/2020,Norfolk,5843,
4/29/2020,Plymouth,4956,
4/29/2020,Suffolk,12693,
4/29/2020,Worcester,5377,
4/29/2020,Unknown,468,
4/29/2020,Dukes and Nantucket,,
4/30/2020,Barnstable,886,
4/30/2020,Berkshire,449,
4/30/2020,Bristol,3631,
4/30/2020,Dukes,19,
4/30/2020,Essex,8813,
4/30/2020,Franklin,262,
4/30/2020,Hampden,3819,
4/30/2020,Hampshire,560,
4/30/2020,Middlesex,14420,
4/30/2020,Nantucket,11,
4/30/2020,Norfolk,6054,
4/30/2020,Plymouth,5180,
4/30/2020,Suffolk,13051,
4/30/2020,Worcester,5630,
4/30/2020,Unknown,426,
4/30/2020,Dukes and Nantucket,,
5/1/2020,Barnstable,930,
5/1/2020,Berkshire,451,
5/1/2020,Bristol,3848,
5/1/2020,Dukes,20,
5/1/2020,Essex,9178,
5/1/2020,Franklin,265,
5/1/2020,Hampden,3943,
5/1/2020,Hampshire,532,
5/1/2020,Middlesex,14829,
5/1/2020,Nantucket,11,
5/1/2020,Norfolk,6231,
5/1/2020,Plymouth,5371,
5/1/2020,Suffolk,13468,
5/1/2020,Worcester,5874,
5/1/2020,Unknown,437,
5/1/2020,Dukes and Nantucket,,
5/2/2020,Barnstable,970,
5/2/2020,Berkshire,455,
5/2/2020,Bristol,3975,
5/2/2020,Dukes,20,
5/2/2020,Essex,9522,
5/2/2020,Franklin,268,
5/2/2020,Hampden,4053,
5/2/2020,Hampshire,563,
5/2/2020,Middlesex,15281,
5/2/2020,Nantucket,11,
5/2/2020,Norfolk,6370,
5/2/2020,Plymouth,5536,
5/2/2020,Suffolk,13784,
5/2/2020,Worcester,6220,
5/2/2020,Unknown,410,
5/2/2020,Dukes and Nantucket,,
5/3/2020,Barnstable,981,
5/3/2020,Berkshire,458,
5/3/2020,Bristol,4083,
5/3/2020,Dukes,23,
5/3/2020,Essex,9705,
5/3/2020,Franklin,275,
5/3/2020,Hampden,4121,
5/3/2020,Hampshire,573,
5/3/2020,Middlesex,15614,
5/3/2020,Nantucket,11,
5/3/2020,Norfolk,6472,
5/3/2020,Plymouth,5643,
5/3/2020,Suffolk,13963,
5/3/2020,Worcester,6382,
5/3/2020,Unknown,1014,
5/3/2020,Dukes and Nantucket,,
5/4/2020,Barnstable,997,
5/4/2020,Berkshire,460,
5/4/2020,Bristol,4169,
5/4/2020,Dukes,23,
5/4/2020,Essex,9941,
5/4/2020,Franklin,279,
5/4/2020,Hampden,4171,
5/4/2020,Hampshire,579,
5/4/2020,Middlesex,16020,
5/4/2020,Nantucket,11,
5/4/2020,Norfolk,6588,
5/4/2020,Plymouth,5747,
5/4/2020,Suffolk,14141,
5/4/2020,Worcester,6567,
5/4/2020,Unknown,695,
5/4/2020,Dukes and Nantucket,,
5/5/2020,Barnstable,1008,
5/5/2020,Berkshire,464,
5/5/2020,Bristol,4304,
5/5/2020,Dukes,23,
5/5/2020,Essex,10154,
5/5/2020,Franklin,281,
5/5/2020,Hampden,4262,
5/5/2020,Hampshire,591,
5/5/2020,Middlesex,16264,
5/5/2020,Nantucket,11,
5/5/2020,Norfolk,6685,
5/5/2020,Plymouth,5891,
5/5/2020,Suffolk,14389,
5/5/2020,Worcester,6698,
5/5/2020,Unknown,629,
5/5/2020,Dukes and Nantucket,,
5/6/2020,Barnstable,1039,
5/6/2020,Berkshire,469,
5/6/2020,Bristol,4457,
5/6/2020,Dukes,24,
5/6/2020,Essex,10533,
5/6/2020,Franklin,284,
5/6/2020,Hampden,4383,
5/6/2020,Hampshire,599,
5/6/2020,Middlesex,16643,
5/6/2020,Nantucket,12,
5/6/2020,Norfolk,6847,
5/6/2020,Plymouth,6060,
5/6/2020,Suffolk,14722,
5/6/2020,Worcester,7105,
5/6/2020,Unknown,361,
5/6/2020,Dukes and Nantucket,,
5/7/2020,Barnstable,1065,
5/7/2020,Berkshire,474,
5/7/2020,Bristol,4610,
5/7/2020,Dukes,26,
5/7/2020,Essex,10812,
5/7/2020,Franklin,291,
5/7/2020,Hampden,4512,
5/7/2020,Hampshire,614,
5/7/2020,Middlesex,17016,
5/7/2020,Nantucket,11,
5/7/2020,Norfolk,6979,
5/7/2020,Plymouth,6254,
5/7/2020,Suffolk,14996,
5/7/2020,Worcester,7315,
5/7/2020,Unknown,363,
5/7/2020,Dukes and Nantucket,,
5/8/2020,Barnstable,1088,
5/8/2020,Berkshire,482,
5/8/2020,Bristol,4754,
5/8/2020,Dukes,26,
5/8/2020,Essex,11207,
5/8/2020,Franklin,295,
5/8/2020,Hampden,4598,
5/8/2020,Hampshire,674,
5/8/2020,Middlesex,17386,
5/8/2020,Nantucket,11,
5/8/2020,Norfolk,7080,
5/8/2020,Plymouth,6384,
5/8/2020,Suffolk,15237,
5/8/2020,Worcester,7536,
5/8/2020,Unknown,332,
5/8/2020,Dukes and Nantucket,,
5/9/2020,Barnstable,1112,
5/9/2020,Berkshire,483,
5/9/2020,Bristol,4934,
5/9/2020,Dukes,28,
5/9/2020,Essex,11429,
5/9/2020,Franklin,301,
5/9/2020,Hampden,4725,
5/9/2020,Hampshire,679,
5/9/2020,Middlesex,17694,
5/9/2020,Nantucket,11,
5/9/2020,Norfolk,7172,
5/9/2020,Plymouth,6504,
5/9/2020,Suffolk,15423,
5/9/2020,Worcester,7743,
5/9/2020,Unknown,323,
5/9/2020,Dukes and Nantucket,,
5/10/2020,Barnstable,1129,
5/10/2020,Berkshire,486,
5/10/2020,Bristol,5023,
5/10/2020,Dukes,28,
5/10/2020,Essex,11576,
5/10/2020,Franklin,301,
5/10/2020,Hampden,4793,
5/10/2020,Hampshire,696,
5/10/2020,Middlesex,17996,
5/10/2020,Nantucket,12,
5/10/2020,Norfolk,7246,
5/10/2020,Plymouth,6582,
5/10/2020,Suffolk,15591,
5/10/2020,Worcester,7880,
5/10/2020,Unknown,337,
5/10/2020,Dukes and Nantucket,,
5/11/2020,Barnstable,1138,
5/11/2020,Berkshire,489,
5/11/2020,Bristol,5093,
5/11/2020,Dukes,29,
5/11/2020,Essex,11665,
5/11/2020,Franklin,305,
5/11/2020,Hampden,4843,
5/11/2020,Hampshire,710,
5/11/2020,Middlesex,18197,
5/11/2020,Nantucket,12,
5/11/2020,Norfolk,7303,
5/11/2020,Plymouth,6661,
5/11/2020,Suffolk,15686,
5/11/2020,Worcester,7956,
5/11/2020,Unknown,322,
5/11/2020,Dukes and Nantucket,,
5/12/2020,Barnstable,1158,
5/12/2020,Berkshire,497,
5/12/2020,Bristol,5227,
5/12/2020,Dukes,29,
5/12/2020,Essex,11811,
5/12/2020,Franklin,306,
5/12/2020,Hampden,4917,
5/12/2020,Hampshire,724,
5/12/2020,Middlesex,18394,
5/12/2020,Nantucket,12,
5/12/2020,Norfolk,7359,
5/12/2020,Plymouth,6720,
5/12/2020,Suffolk,15806,
5/12/2020,Worcester,8102,
5/12/2020,Unknown,308,
5/12/2020,Dukes and Nantucket,,
5/13/2020,Barnstable,1178,
5/13/2020,Berkshire,498,
5/13/2020,Bristol,5361,
5/13/2020,Dukes,30,
5/13/2020,Essex,11955,
5/13/2020,Franklin,312,
5/13/2020,Hampden,4978,
